PRODUCT_NAME,PRODUCT_PRICE,DEALER_1_PRICE,DEALER_2_PRICE,DEALER_3_PRICE,SALES_COUNT_DEALER_1,SALES_COUNT_DEALER_2,SALES_COUNT_DEALER_3
Pants,371,399,434,314,63,99,58
Blouse,421,380,410,314,58,73,50
Jacket,371,371,341,398,88,98,81
T-shirt,387,327,350,343,73,90,98
Pants,314,400,438,422,69,85,68
Jacket,320,450,446,389,60,98,57
T-shirt,371,392,337,347,79,82,77
Skirt,402,392,450,357,89,82,58
Blouse,371,434,348,442,92,86,82
Skirt,374,351,426,413,50,96,83
Jacket,421,368,437,393,65,51,98
T-shirt,402,328,320,380,97,85,67
Sweater,402,412,416,318,74,70,85
Pants,314,375,444,440,88,76,59
Coat,387,430,313,448,52,65,72
T-shirt,402,307,310,345,75,74,71
Coat,402,401,338,409,50,93,54
Dress,374,397,333,350,92,92,97
T-shirt,387,403,432,448,71,96,79
Coat,406,408,418,317,66,62,69
Blouse,371,410,394,408,52,100,80
Dress,402,417,346,318,85,62,92
Coat,371,450,436,442,71,78,57
T-shirt,406,388,403,331,64,96,78
Skirt,421,422,310,375,59,89,87
Sweater,374,359,409,339,50,100,89
Shorts,314,337,383,390,56,50,81
Dress,402,412,354,307,96,86,52
Coat,392,419,428,384,54,86,87
Pants,402,419,316,303,86,74,87
Blouse,402,421,310,353,73,71,54
T-shirt,402,316,346,397,57,80,70
Jeans,314,358,402,306,80,73,84
Jeans,371,407,361,317,79,99,53
Skirt,402,372,356,387,55,54,54
Sweater,387,421,339,441,64,87,57
Pants,374,380,344,391,54,92,94
Skirt,387,311,378,412,66,59,50
Sweater,406,438,331,418,78,70,96
Shorts,402,423,323,378,74,79,63
Pants,421,416,310,381,77,69,82
Jacket,320,405,361,402,56,60,69
Dress,314,313,350,435,52,77,59
Shorts,387,348,442,397,85,97,79
Blouse,402,429,392,327,50,54,69
Jeans,402,343,311,325,80,96,92
Sweater,371,384,300,395,68,80,65
T-shirt,402,388,375,428,78,74,82
Dress,406,308,406,432,64,74,85
Pants,402,326,341,389,50,93,94
Coat,374,325,407,359,58,63,62
Dress,320,367,312,396,87,57,99
Jacket,421,415,311,354,100,89,54
Skirt,314,337,359,354,79,73,91
Jacket,392,319,440,353,81,77,62
Skirt,402,429,423,306,86,84,56
T-shirt,387,361,436,333,90,50,51
Pants,320,320,350,316,79,81,57
Jacket,406,367,310,309,74,99,71
Skirt,371,419,349,435,73,93,62
Pants,387,410,427,435,58,85,71
Pants,402,319,319,353,73,86,65
Shorts,374,408,417,445,76,64,55
Skirt,374,302,428,448,85,55,90
Sweater,314,419,441,344,86,70,67
Dress,402,427,321,342,51,59,83
Jacket,402,320,357,409,84,55,88
Jacket,320,340,326,379,97,92,86
Coat,371,408,447,326,51,96,93
Skirt,371,329,386,368,52,53,74
Pants,314,433,412,399,95,100,52
Dress,392,420,409,388,98,97,79
Skirt,392,307,350,325,61,94,52
Pants,320,305,396,334,88,70,98
Shorts,402,316,375,310,95,72,79
Coat,314,367,392,420,89,51,66
Jacket,371,320,362,398,77,86,56
Sweater,387,425,358,330,64,79,91
Dress,402,358,341,321,60,88,53
Jacket,320,384,316,446,100,68,75
Jeans,374,434,368,371,59,91,70
Skirt,314,412,427,366,95,63,53
T-shirt,402,365,446,425,68,74,71
Sweater,374,321,404,307,57,90,55
Coat,314,399,393,407,97,88,77
Sweater,387,330,399,317,59,93,96
Sweater,406,410,434,328,65,65,92
Sweater,421,378,358,389,68,60,62
Skirt,374,356,345,433,62,99,60
Jacket,421,389,405,328,92,88,66
Jeans,406,335,416,420,75,63,66
Jacket,402,358,325,404,54,70,63
Blouse,402,411,368,323,55,86,59
Coat,402,385,448,417,81,59,71
Shorts,402,422,369,380,61,97,96
Shorts,392,382,446,332,69,80,53
Skirt,371,371,358,374,97,90,68
Blouse,387,313,370,365,84,65,51
Blouse,320,447,358,347,100,97,70
Pants,392,367,372,373,66,92,90
Pants,402,333,430,437,95,57,100
Shorts,314,436,449,317,77,64,50
T-shirt,387,383,331,382,85,95,91
Pants,314,304,449,356,82,79,66
Pants,402,442,325,436,98,52,56
Skirt,320,443,445,355,51,81,57
Blouse,374,348,361,431,77,80,83
Pants,402,358,335,391,89,94,51
Sweater,314,445,327,428,86,71,55
Blouse,392,433,312,390,87,80,63
Shorts,320,302,412,386,60,67,76
T-shirt,320,320,339,392,62,51,86
Dress,392,374,423,418,98,66,91
Pants,320,401,393,450,81,85,86
T-shirt,374,418,440,356,64,64,88
Coat,320,375,395,408,87,57,57
T-shirt,374,388,316,426,62,88,86
Coat,374,312,331,411,82,94,63
Skirt,387,406,402,414,86,100,53
Blouse,371,357,403,347,59,68,52
Shorts,406,404,320,365,92,97,93
Shorts,320,421,424,355,74,61,50
Jeans,406,364,304,371,55,55,99
Jeans,314,362,367,406,53,94,75
Pants,406,414,445,416,81,58,86
Blouse,374,334,329,386,74,77,83
Jacket,402,377,353,420,91,61,62
Jacket,406,378,423,419,86,78,52
Jeans,392,447,372,333,58,81,53
Shorts,371,367,443,365,73,50,60
T-shirt,421,429,383,412,59,91,89
Sweater,392,365,356,423,73,70,59
Jacket,402,395,386,443,83,54,94
Jacket,320,334,353,369,50,66,51
Dress,320,319,338,385,87,83,92
Pants,320,402,415,416,81,98,56
T-shirt,371,410,321,329,87,76,82
T-shirt,387,326,365,316,67,75,56
Jeans,421,400,416,448,67,53,98
Shorts,387,443,305,338,52,57,57
Jeans,374,435,433,409,62,92,63
Jeans,402,367,334,381,71,72,68
Sweater,374,337,450,449,72,64,82
Jeans,421,346,324,389,60,87,55
Shorts,387,388,421,324,81,90,97
Coat,371,424,303,445,52,97,95
Skirt,314,351,381,339,69,54,68
Skirt,314,410,380,306,83,77,52
T-shirt,421,319,432,334,96,84,63
Coat,421,369,381,395,51,66,86
T-shirt,402,316,406,433,67,56,50
Skirt,387,424,329,333,56,89,55
Shorts,374,375,397,364,66,87,63
Shorts,314,418,345,428,94,53,63
Skirt,402,357,335,344,82,65,72
T-shirt,392,381,448,300,64,76,77
Pants,402,312,448,396,67,78,73
Blouse,406,316,318,378,98,75,84
Pants,402,428,389,377,93,79,98
Dress,320,386,321,311,89,56,81
Coat,387,336,371,308,93,95,83
Jacket,421,402,423,380,85,59,70
Pants,387,337,369,350,77,81,61
Sweater,314,363,312,413,91,68,67
Sweater,387,333,450,389,81,64,86
Blouse,314,306,379,310,61,54,77
Jeans,406,411,350,442,74,72,61
Blouse,314,352,358,411,73,89,80
Coat,371,442,336,354,94,93,56
T-shirt,406,427,377,384,82,78,92
